liga,time,jogo,jogador,posicao_x,posicao_y,velocidade,batimentos
Bundesliga,Wolfsburg,Jogo 8,Lovro Majer,32,64,27.3,183
Serie A,Milan,Jogo 8,Mike Maignan,57,39,26.5,151
Premier League,Chelsea,Jogo 8,Thiago Silva,85,96,25.4,185
Serie A,Milan,Jogo 8,Theo Hernández,10,37,33.8,180
Serie A,Napoli,Jogo 8,Victor Osimhen,69,28,26.7,174
Serie A,Lazio,Jogo 8,Mattéo Guendouzi,63,1,29.2,172
Brasileirão,Flamengo,Jogo 8,Pedro,10,58,31.7,150
Brasileirão,Palmeiras,Jogo 8,Weverton,92,91,33.8,164
Bundesliga,Freiburg,Jogo 8,Ritsu Doan,72,19,24.4,153
Primeira Liga,Vitória SC,Jogo 8,Bruno Gaspar,4,68,26.9,162
Bundesliga,Borussia Dortmund,Jogo 8,Emre Can,24,48,28.8,187
Premier League,Manchester City,Jogo 8,Phil Foden,52,4,27.4,156
Bundesliga,Bayern Munich,Jogo 8,Joshua Kimmich,46,10,29.4,156
La Liga,Real Madrid,Jogo 8,Jude Bellingham,92,45,27.8,164
La Liga,Real Betis,Jogo 8,Juan Miranda,98,70,32.3,169
Brasileirão,Corinthians,Jogo 8,Renato Augusto,19,32,25.1,165
La Liga,Villarreal,Jogo 8,Daniel Parejo,44,32,23.7,168
Ligue 1,Nice,Jogo 8,Jean-Clair Todibo,42,11,27.5,154
Primeira Liga,Benfica,Jogo 8,Rafa Silva,51,39,29.6,188
Premier League,Manchester City,Jogo 8,Julián Álvarez,38,42,28.7,170
Brasileirão,Flamengo,Jogo 8,Éverton Ribeiro,91,76,31.1,169
Bundesliga,Borussia Dortmund,Jogo 8,Marco Reus,42,8,24.7,162
Ligue 1,Marseille,Jogo 8,Geoffrey Kondogbia,37,72,27.3,173
Bundesliga,Freiburg,Jogo 8,Vincenzo Grifo,33,100,31.1,171
Primeira Liga,Sporting CP,Jogo 8,Marcus Edwards,29,68,22.1,187
Eredivisie,Utrecht,Jogo 8,Oscar Fraulo,76,10,33.3,180
Primeira Liga,Sporting CP,Jogo 8,Sebastián Coates,10,79,24.8,186
Eredivisie,PSV Eindhoven,Jogo 8,Luuk de Jong,29,46,22.8,174
Bundesliga,Wolfsburg,Jogo 8,Koen Casteels,67,29,30.4,172
La Liga,Villarreal,Jogo 8,Raúl Albiol,96,23,30.2,158
Serie A,Roma,Jogo 8,Gianluca Mancini,13,92,30.2,160
La Liga,Sevilla,Jogo 8,Ivan Rakitić,43,21,34.1,161
Serie A,Juventus,Jogo 8,Bremer,6,76,20.5,185
Bundesliga,Borussia Dortmund,Jogo 8,Marco Reus,33,23,32.9,157
Eredivisie,AZ Alkmaar,Jogo 8,Ruben van Bommel,20,31,27.5,155
Brasileirão,Palmeiras,Jogo 8,Raphael Veiga,75,15,27.6,182
Premier League,Arsenal,Jogo 8,Martin Ødegaard,39,10,27.9,164
Primeira Liga,Benfica,Jogo 8,Ángel Di María,39,98,31.7,181
Brasileirão,Fluminense,Jogo 9,Germán Cano,77,34,28.6,150
Ligue 1,Marseille,Jogo 9,Geoffrey Kondogbia,56,62,21.5,168
Bundesliga,RB Leipzig,Jogo 9,Dani Olmo,3,34,29.7,171
La Liga,Real Madrid,Jogo 9,Aurélien Tchouaméni,97,66,31.7,160
Premier League,Chelsea,Jogo 9,Enzo Fernández,49,43,31.1,155
Ligue 1,Monaco,Jogo 9,Wissam Ben Yedder,9,53,31.2,157
Bundesliga,RB Leipzig,Jogo 9,Dani Olmo,39,6,23.8,165
Brasileirão,Fluminense,Jogo 9,Germán Cano,96,13,34.1,154
Ligue 1,Lille,Jogo 9,Yusuf Yazıcı,41,73,28.4,174
Premier League,Tottenham,Jogo 9,Richarlison,100,54,32.9,153
Eredivisie,AZ Alkmaar,Jogo 9,Vangelis Pavlidis,32,11,33.4,166
Ligue 1,Nice,Jogo 9,Jean-Clair Todibo,6,52,21.6,182
Primeira Liga,Benfica,Jogo 9,Alexander Bah,80,56,30.2,166
Serie A,Milan,Jogo 9,Rafael Leão,3,7,29.8,173
Eredivisie,Twente,Jogo 9,Sem Steijn,50,57,23.3,177
Ligue 1,Marseille,Jogo 9,Geoffrey Kondogbia,6,79,21.3,168
Serie A,Inter de Milão,Jogo 9,Hakan Çalhanoğlu,38,55,24.8,184
Bundesliga,Bayer Leverkusen,Jogo 9,Jonas Hofmann,42,11,24.6,151
Ligue 1,Nice,Jogo 9,Gaëtan Laborde,2,40,20.7,176
Serie A,Lazio,Jogo 9,Mattéo Guendouzi,11,23,27.8,165
Ligue 1,Marseille,Jogo 9,Ismaïla Sarr,52,88,31.6,188
Bundesliga,Wolfsburg,Jogo 9,Maxence Lacroix,77,52,33.7,181
La Liga,Real Betis,Jogo 9,Isco,56,26,22.0,178
Bundesliga,Bayern Munich,Jogo 9,Jamal Musiala,82,49,25.3,175
Ligue 1,Monaco,Jogo 9,Youssouf Fofana,4,8,21.5,154
Eredivisie,AZ Alkmaar,Jogo 9,Riechedly Bazoer,55,23,22.8,166
Brasileirão,São Paulo,Jogo 9,Calleri,22,97,22.6,171
Brasileirão,São Paulo,Jogo 9,Luciano,28,86,32.3,160
Premier League,Liverpool,Jogo 9,Virgil van Dijk,45,98,27.0,160
Premier League,Manchester City,Jogo 9,Erling Haaland,5,36,22.5,155
Ligue 1,Lyon,Jogo 9,Anthony Lopes,63,84,32.8,169
Ligue 1,Paris Saint-Germain,Jogo 9,Ousmane Dembélé,95,11,31.4,167
Ligue 1,Lyon,Jogo 9,Alexandre Lacazette,98,73,23.6,182
Eredivisie,PSV Eindhoven,Jogo 9,Joey Veerman,28,0,28.9,177
Bundesliga,Bayer Leverkusen,Jogo 9,Victor Boniface,7,65,23.9,187
Ligue 1,Paris Saint-Germain,Jogo 9,Marquinhos,55,27,20.7,169
Brasileirão,Atlético Mineiro,Jogo 9,Éverson,9,10,27.0,183
Ligue 1,Paris Saint-Germain,Jogo 9,Kylian Mbappé,66,100,21.7,160
La Liga,Real Madrid,Jogo 9,Rodrygo,61,42,30.2,177
Eredivisie,Utrecht,Jogo 9,Taylor Booth,77,65,34.0,159
Brasileirão,Fluminense,Jogo 9,Germán Cano,79,94,33.5,189
Brasileirão,Corinthians,Jogo 9,Yuri Alberto,100,47,21.2,172
Eredivisie,AZ Alkmaar,Jogo 9,Dani de Wit,38,66,31.9,164
Serie A,Inter de Milão,Jogo 9,Lautaro Martínez,79,95,27.3,152
Brasileirão,Palmeiras,Jogo 9,Dudu,91,23,20.2,181
Ligue 1,Paris Saint-Germain,Jogo 9,Marquinhos,75,57,31.6,151
Serie A,Milan,Jogo 9,Theo Hernández,79,32,21.0,163
La Liga,Real Madrid,Jogo 9,Rodrygo,87,12,31.1,182
Serie A,Milan,Jogo 9,Fikayo Tomori,38,99,24.6,190
Eredivisie,Twente,Jogo 9,Sem Steijn,52,62,22.5,156
Eredivisie,Feyenoord,Jogo 10,Quinten Timber,12,48,23.3,189
Premier League,Manchester City,Jogo 10,Erling Haaland,5,100,23.4,163
Bundesliga,Freiburg,Jogo 10,Philipp Lienhart,34,75,28.9,187
Premier League,Tottenham,Jogo 10,Cristian Romero,54,79,33.3,164
Eredivisie,Feyenoord,Jogo 10,Santiago Giménez,69,13,32.9,159
Primeira Liga,Sporting CP,Jogo 10,Sebastián Coates,96,17,21.8,183
Eredivisie,Twente,Jogo 10,Manfred Ugalde,62,55,31.7,153
Primeira Liga,Braga,Jogo 10,José Fonte,46,39,25.1,168
La Liga,Villarreal,Jogo 10,Álex Baena,99,45,27.6,190
Ligue 1,Nice,Jogo 10,Gaëtan Laborde,75,24,27.4,189
Primeira Liga,Braga,Jogo 10,José Fonte,46,11,32.3,152
Primeira Liga,Benfica,Jogo 10,Rafa Silva,60,89,31.9,155
Primeira Liga,Vitória SC,Jogo 10,Bruno Gaspar,28,27,34.4,153
Eredivisie,Utrecht,Jogo 10,Sam Lammers,68,55,25.6,184
Bundesliga,Freiburg,Jogo 10,Vincenzo Grifo,41,39,31.5,184
La Liga,Atlético Madrid,Jogo 10,Álvaro Morata,19,98,29.2,183
Eredivisie,Feyenoord,Jogo 10,Dávid Hancko,46,98,34.0,162
Ligue 1,Lyon,Jogo 10,Anthony Lopes,3,83,20.2,179
La Liga,Barcelona,Jogo 10,Ronald Araújo,68,66,27.8,187
Ligue 1,Lille,Jogo 10,Yusuf Yazıcı,98,10,20.6,152
Eredivisie,PSV Eindhoven,Jogo 10,Noa Lang,81,24,25.1,162
Brasileirão,Atlético Mineiro,Jogo 10,Igor Gomes,16,9,28.8,189
Bundesliga,Wolfsburg,Jogo 10,Patrick Wimmer,46,61,34.2,159
Premier League,Arsenal,Jogo 10,Declan Rice,38,7,22.4,153
Eredivisie,PSV Eindhoven,Jogo 10,Luuk de Jong,74,34,34.5,163
Eredivisie,AZ Alkmaar,Jogo 10,Vangelis Pavlidis,51,69,30.1,170
La Liga,Real Madrid,Jogo 10,Jude Bellingham,5,51,29.2,154
La Liga,Real Madrid,Jogo 10,David Alaba,5,15,22.8,185
Bundesliga,Wolfsburg,Jogo 10,Maxence Lacroix,54,36,32.7,177
Brasileirão,São Paulo,Jogo 10,Luciano,78,100,31.8,158
Primeira Liga,Sporting CP,Jogo 10,Sebastián Coates,58,59,20.4,153
Ligue 1,Lille,Jogo 10,Yusuf Yazıcı,15,52,25.0,185
Serie A,Lazio,Jogo 10,Ciro Immobile,47,93,30.9,190
Primeira Liga,Estoril,Jogo 10,Alejandro Marqués,74,5,33.4,170
Premier League,Manchester City,Jogo 10,Julián Álvarez,25,77,31.8,157
Ligue 1,Paris Saint-Germain,Jogo 10,Warren Zaïre-Emery,59,57,28.8,187
Premier League,Chelsea,Jogo 10,Reece James,12,13,26.5,158
La Liga,Barcelona,Jogo 10,Jules Koundé,40,32,26.8,160
Brasileirão,Palmeiras,Jogo 10,Endrick,96,86,23.6,171
Bundesliga,Bayer Leverkusen,Jogo 10,Victor Boniface,86,52,30.8,163
Ligue 1,Nice,Jogo 10,Jean-Clair Todibo,53,94,28.0,155
Serie A,Inter de Milão,Jogo 10,Federico Dimarco,5,38,25.0,182
Primeira Liga,Benfica,Jogo 10,Nicolás Otamendi,51,33,34.3,187
La Liga,Atlético Madrid,Jogo 10,Koke,98,66,26.8,177
Serie A,Inter de Milão,Jogo 10,Federico Dimarco,47,78,32.3,171
Serie A,Lazio,Jogo 10,Ciro Immobile,45,10,27.3,163
Premier League,Manchester City,Jogo 10,Kevin De Bruyne,46,50,34.9,154
Bundesliga,Bayern Munich,Jogo 10,Alphonso Davies,42,82,30.4,157
Eredivisie,AZ Alkmaar,Jogo 10,Yukinari Sugawara,29,100,22.9,175
Bundesliga,Wolfsburg,Jogo 10,Koen Casteels,40,2,30.7,163
Premier League,Liverpool,Jogo 11,Mohamed Salah,69,24,22.9,166
Primeira Liga,Sporting CP,Jogo 11,Viktor Gyökeres,62,47,25.3,186
Bundesliga,RB Leipzig,Jogo 11,Willi Orbán,68,98,25.5,179
Primeira Liga,Sporting CP,Jogo 11,Pedro Gonçalves,18,66,27.6,161
Eredivisie,AZ Alkmaar,Jogo 11,Yukinari Sugawara,99,96,23.3,180
Primeira Liga,Vitória SC,Jogo 11,Tiago Silva,73,23,34.9,172
Serie A,Roma,Jogo 11,Tammy Abraham,37,36,26.6,162
Bundesliga,Bayern Munich,Jogo 11,Joshua Kimmich,5,56,30.6,166
Bundesliga,Bayern Munich,Jogo 11,Jamal Musiala,49,82,21.7,166
Serie A,Milan,Jogo 11,Rafael Leão,21,62,26.8,167
Brasileirão,Fluminense,Jogo 11,Jhon Arias,53,16,31.6,173
Serie A,Lazio,Jogo 11,Sergej Milinković-Savić,38,99,23.1,176
Serie A,Roma,Jogo 11,Lorenzo Pellegrini,10,2,27.3,179
Premier League,Chelsea,Jogo 11,Mykhailo Mudryk,39,98,32.1,186
Bundesliga,Freiburg,Jogo 11,Ritsu Doan,41,19,34.2,162
Serie A,Lazio,Jogo 11,Sergej Milinković-Savić,100,34,27.7,182
Eredivisie,AZ Alkmaar,Jogo 11,Yukinari Sugawara,98,68,26.3,184
Primeira Liga,Braga,Jogo 11,José Fonte,69,37,32.9,176
Brasileirão,São Paulo,Jogo 11,James Rodríguez,89,77,33.6,168
Eredivisie,Utrecht,Jogo 11,Mike van der Hoorn,62,65,33.2,177
Premier League,Manchester City,Jogo 11,Phil Foden,45,74,23.7,183
Premier League,Tottenham,Jogo 11,Richarlison,79,21,24.4,190
Premier League,Manchester City,Jogo 11,Rodri,52,53,27.0,159
Premier League,Manchester City,Jogo 11,Kevin De Bruyne,23,24,32.8,165
Brasileirão,São Paulo,Jogo 11,Lucas Moura,14,3,25.0,153
Brasileirão,São Paulo,Jogo 11,Lucas Moura,33,61,31.1,159
Serie A,Napoli,Jogo 11,André-Frank Zambo Anguissa,99,45,29.5,185
Eredivisie,Utrecht,Jogo 11,Oscar Fraulo,12,42,23.5,172
Primeira Liga,Vitória SC,Jogo 11,André Silva,16,25,29.1,163
Ligue 1,Lyon,Jogo 11,Dejan Lovren,22,88,26.4,190
Brasileirão,Palmeiras,Jogo 11,Weverton,8,63,22.2,166
Serie A,Roma,Jogo 11,Bryan Cristante,30,74,21.7,161
Premier League,Tottenham,Jogo 11,Destiny Udogie,33,90,28.2,188
Premier League,Arsenal,Jogo 11,William Saliba,26,63,28.6,180
Bundesliga,Bayern Munich,Jogo 11,Joshua Kimmich,81,33,26.0,180
Bundesliga,Freiburg,Jogo 11,Vincenzo Grifo,77,29,23.7,154
La Liga,Atlético Madrid,Jogo 11,Jan Oblak,55,15,20.1,162
Bundesliga,Borussia Dortmund,Jogo 11,Marco Reus,3,48,33.3,166
Ligue 1,Lyon,Jogo 11,Dejan Lovren,41,70,30.3,164
Bundesliga,Wolfsburg,Jogo 11,Patrick Wimmer,38,28,32.6,174
Eredivisie,Twente,Jogo 11,Michel Vlap,84,52,28.8,160
Ligue 1,Lille,Jogo 11,Edon Zhegrova,94,11,22.6,189
Primeira Liga,Porto,Jogo 11,Diogo Costa,73,84,25.6,180
Serie A,Roma,Jogo 11,Paulo Dybala,23,18,32.2,155
Primeira Liga,Vitória SC,Jogo 11,André Silva,14,77,29.8,154
Ligue 1,Marseille,Jogo 11,Geoffrey Kondogbia,81,51,33.7,152
Premier League,Arsenal,Jogo 11,William Saliba,66,38,32.2,182
Primeira Liga,Porto,Jogo 11,Diogo Costa,18,80,26.9,169
Primeira Liga,Estoril,Jogo 11,Alejandro Marqués,78,15,25.3,171
Serie A,Napoli,Jogo 11,André-Frank Zambo Anguissa,41,78,27.5,184
Premier League,Tottenham,Jogo 12,Son Heung-min,76,41,27.8,180
La Liga,Villarreal,Jogo 12,Pau Torres,97,17,27.6,178
Primeira Liga,Braga,Jogo 12,Rodrigo Zalazar,13,46,29.1,161
Serie A,Milan,Jogo 12,Olivier Giroud,63,63,25.0,177
Primeira Liga,Sporting CP,Jogo 12,Sebastián Coates,92,64,23.8,155
Primeira Liga,Vitória SC,Jogo 12,André Silva,32,18,33.5,183
Brasileirão,Flamengo,Jogo 12,Éverton Ribeiro,0,28,26.3,169
Primeira Liga,Vitória SC,Jogo 12,Jota Silva,60,45,32.1,164
Serie A,Inter de Milão,Jogo 12,Benjamin Pavard,30,58,21.9,168
Ligue 1,Monaco,Jogo 12,Caio Henrique,27,7,30.1,183
Eredivisie,AZ Alkmaar,Jogo 12,Ruben van Bommel,73,19,29.1,178
Premier League,Manchester City,Jogo 12,Julián Álvarez,79,54,25.4,168
Bundesliga,RB Leipzig,Jogo 12,Mohamed Simakan,7,63,31.6,182
Premier League,Liverpool,Jogo 12,Mohamed Salah,16,7,25.7,155
Bundesliga,RB Leipzig,Jogo 12,Mohamed Simakan,73,43,35.0,157
Brasileirão,Flamengo,Jogo 12,Éverton Ribeiro,76,68,26.2,183
Bundesliga,Bayer Leverkusen,Jogo 12,Jonas Hofmann,17,24,23.4,175
Primeira Liga,Porto,Jogo 12,Galeno,34,64,26.8,176
Brasileirão,Corinthians,Jogo 12,Fagner,20,14,23.0,161
Primeira Liga,Vitória SC,Jogo 12,Bruno Gaspar,47,11,23.9,153
Ligue 1,Nice,Jogo 12,Dante,83,57,30.1,186
Premier League,Chelsea,Jogo 12,Enzo Fernández,97,16,33.2,170
Primeira Liga,Braga,Jogo 12,Alvaro Djaló,27,37,24.5,176
Eredivisie,Twente,Jogo 12,Manfred Ugalde,12,62,32.2,186
Brasileirão,Corinthians,Jogo 12,Renato Augusto,88,40,31.1,150
Bundesliga,Bayern Munich,Jogo 12,Alphonso Davies,59,41,28.5,168
Serie A,Napoli,Jogo 12,Victor Osimhen,0,59,33.1,170
Serie A,Juventus,Jogo 12,Manuel Locatelli,38,79,32.4,155
Eredivisie,Feyenoord,Jogo 12,Quinten Timber,98,98,20.8,179
Bundesliga,Borussia Dortmund,Jogo 12,Niclas Füllkrug,82,76,24.3,182
Premier League,Manchester United,Jogo 12,Raphaël Varane,68,95,31.9,180
Primeira Liga,Estoril,Jogo 12,João Carlos,45,77,20.6,188
Eredivisie,PSV Eindhoven,Jogo 12,Noa Lang,42,91,34.4,173
Serie A,Roma,Jogo 12,Tammy Abraham,68,47,26.6,151
La Liga,Atlético Madrid,Jogo 12,Jan Oblak,65,77,30.9,151
Ligue 1,Nice,Jogo 12,Terem Moffi,26,3,28.0,158
Bundesliga,Bayern Munich,Jogo 12,Alphonso Davies,79,4,32.1,170
La Liga,Real Betis,Jogo 12,William Carvalho,95,12,33.3,162
Brasileirão,São Paulo,Jogo 12,Calleri,66,87,29.2,153
Brasileirão,Corinthians,Jogo 12,Fábio Santos,62,92,25.7,168
Serie A,Roma,Jogo 12,Lorenzo Pellegrini,70,52,22.2,166
Brasileirão,Fluminense,Jogo 12,Fábio,16,98,24.9,189
Serie A,Juventus,Jogo 12,Dusan Vlahovic,56,9,33.8,157
Premier League,Manchester United,Jogo 12,Mason Mount,68,89,29.0,161
Ligue 1,Nice,Jogo 12,Terem Moffi,99,100,31.0,155
Eredivisie,Utrecht,Jogo 12,Taylor Booth,64,73,28.3,181
Serie A,Napoli,Jogo 12,Giovanni Di Lorenzo,20,69,23.6,171
Ligue 1,Marseille,Jogo 12,Pau López,43,24,28.0,183
Ligue 1,Paris Saint-Germain,Jogo 12,Marquinhos,65,76,28.2,176
Primeira Liga,Braga,Jogo 12,Ricardo Horta,23,64,34.6,171
Brasileirão,Atlético Mineiro,Jogo 13,Éverson,23,10,33.0,184
Brasileirão,Corinthians,Jogo 13,Fagner,70,38,20.2,158
La Liga,Villarreal,Jogo 13,Álex Baena,75,27,21.3,186
Brasileirão,Flamengo,Jogo 13,Giorgian De Arrascaeta,5,95,26.3,177
Bundesliga,Wolfsburg,Jogo 13,Lovro Majer,73,1,28.9,173
Serie A,Lazio,Jogo 13,Alessio Romagnoli,13,59,34.3,166
Primeira Liga,Braga,Jogo 13,Ricardo Horta,7,100,20.8,155
Serie A,Milan,Jogo 13,Fikayo Tomori,30,89,22.4,156
Premier League,Chelsea,Jogo 13,Enzo Fernández,78,19,23.7,152
Eredivisie,Twente,Jogo 13,Robin Pröpper,68,83,22.6,178
Brasileirão,São Paulo,Jogo 13,Lucas Moura,51,63,22.4,160
La Liga,Sevilla,Jogo 13,Lucas Ocampos,54,86,22.9,170
Primeira Liga,Sporting CP,Jogo 13,Marcus Edwards,21,85,32.5,184
Premier League,Liverpool,Jogo 13,Mohamed Salah,2,61,31.8,157
Premier League,Manchester United,Jogo 13,Casemiro,55,44,26.6,163
La Liga,Sevilla,Jogo 13,Ivan Rakitić,87,94,24.6,187
La Liga,Sevilla,Jogo 13,Lucas Ocampos,75,0,21.4,164
Premier League,Manchester United,Jogo 13,Mason Mount,60,59,25.5,170
Serie A,Lazio,Jogo 13,Mattéo Guendouzi,100,8,27.6,154
Premier League,Manchester United,Jogo 13,Casemiro,88,36,28.6,183
Ligue 1,Monaco,Jogo 13,Caio Henrique,22,52,27.7,160
Brasileirão,Flamengo,Jogo 13,Bruno Henrique,81,31,27.4,159
Eredivisie,Utrecht,Jogo 13,Taylor Booth,35,72,20.6,177
La Liga,Barcelona,Jogo 13,Ronald Araújo,38,86,30.1,161
Serie A,Napoli,Jogo 13,Giovanni Di Lorenzo,27,2,33.6,186
Premier League,Arsenal,Jogo 13,Declan Rice,20,11,28.0,154
Serie A,Lazio,Jogo 13,Ciro Immobile,59,48,20.1,167
Premier League,Arsenal,Jogo 13,Bukayo Saka,33,75,33.5,190
Primeira Liga,Braga,Jogo 13,Alvaro Djaló,22,81,31.1,156
Eredivisie,Twente,Jogo 13,Sem Steijn,31,1,33.3,163
Primeira Liga,Sporting CP,Jogo 13,Morten Hjulmand,73,79,26.1,163
Eredivisie,PSV Eindhoven,Jogo 13,Joey Veerman,30,72,31.3,151
Eredivisie,AZ Alkmaar,Jogo 13,Vangelis Pavlidis,86,20,28.3,167
Eredivisie,PSV Eindhoven,Jogo 13,Luuk de Jong,56,49,22.0,156
Primeira Liga,Sporting CP,Jogo 13,Viktor Gyökeres,44,99,24.4,180
Brasileirão,Atlético Mineiro,Jogo 13,Éverson,93,75,27.6,180
Ligue 1,Monaco,Jogo 13,Caio Henrique,23,81,25.7,170
Premier League,Tottenham,Jogo 13,Destiny Udogie,97,96,22.9,167
Primeira Liga,Estoril,Jogo 13,João Carlos,64,0,20.4,184
Ligue 1,Marseille,Jogo 13,Ismaïla Sarr,15,78,28.5,180
La Liga,Villarreal,Jogo 13,Raúl Albiol,39,15,29.3,167
Primeira Liga,Braga,Jogo 13,Alvaro Djaló,86,57,25.1,178
Bundesliga,Wolfsburg,Jogo 13,Jonas Wind,4,84,28.8,156
Ligue 1,Monaco,Jogo 13,Caio Henrique,22,8,21.9,173
Serie A,Inter de Milão,Jogo 13,Nicolò Barella,12,11,27.3,180
Brasileirão,Palmeiras,Jogo 13,Raphael Veiga,52,93,34.4,189
Bundesliga,Wolfsburg,Jogo 13,Patrick Wimmer,37,40,30.5,160
Primeira Liga,Braga,Jogo 13,José Fonte,25,80,20.6,181
Premier League,Chelsea,Jogo 13,Reece James,50,25,26.5,171
Ligue 1,Paris Saint-Germain,Jogo 13,Achraf Hakimi,52,12,28.2,168
Ligue 1,Paris Saint-Germain,Jogo 14,Ousmane Dembélé,91,10,30.6,160
La Liga,Barcelona,Jogo 14,Gavi,0,73,27.7,179
Brasileirão,Atlético Mineiro,Jogo 14,Hulk,19,79,25.3,157
Primeira Liga,Vitória SC,Jogo 14,André Silva,96,2,30.3,156
Bundesliga,Bayern Munich,Jogo 14,Leroy Sané,88,70,21.0,168
La Liga,Real Betis,Jogo 14,William Carvalho,38,22,28.5,154
Premier League,Liverpool,Jogo 14,Alisson,20,41,24.9,174
Bundesliga,Bayer Leverkusen,Jogo 14,Victor Boniface,72,62,25.9,181
Eredivisie,Utrecht,Jogo 14,Jens Toornstra,35,67,34.6,182
La Liga,Atlético Madrid,Jogo 14,Jan Oblak,95,52,34.8,152
Brasileirão,Flamengo,Jogo 14,Pedro,70,13,25.7,150
La Liga,Barcelona,Jogo 14,Ronald Araújo,43,3,22.6,183
Ligue 1,Monaco,Jogo 14,Youssouf Fofana,50,0,28.7,171
Brasileirão,Atlético Mineiro,Jogo 14,Éverson,32,85,21.8,158
Primeira Liga,Benfica,Jogo 14,Rafa Silva,98,43,30.8,171
La Liga,Barcelona,Jogo 14,Ronald Araújo,7,68,31.0,188
La Liga,Real Madrid,Jogo 14,Rodrygo,69,6,31.1,190
La Liga,Atlético Madrid,Jogo 14,Jan Oblak,46,77,32.2,162
Bundesliga,RB Leipzig,Jogo 14,Dani Olmo,98,31,33.3,165
La Liga,Atlético Madrid,Jogo 14,Antoine Griezmann,99,51,24.8,180
Bundesliga,Wolfsburg,Jogo 14,Lovro Majer,42,27,26.1,190
Eredivisie,Ajax,Jogo 14,Jorrel Hato,22,12,29.3,187
Primeira Liga,Porto,Jogo 14,Evanilson,35,16,27.6,150
Premier League,Chelsea,Jogo 14,Mykhailo Mudryk,83,32,22.5,154
Primeira Liga,Porto,Jogo 14,Diogo Costa,39,51,31.9,184
Premier League,Chelsea,Jogo 14,Enzo Fernández,50,97,26.3,182
Bundesliga,Freiburg,Jogo 14,Philipp Lienhart,51,30,27.5,179
Brasileirão,Corinthians,Jogo 14,Fagner,15,82,29.6,182
Serie A,Inter de Milão,Jogo 14,Federico Dimarco,54,63,28.1,152
Ligue 1,Paris Saint-Germain,Jogo 14,Marquinhos,33,42,21.9,153
Ligue 1,Marseille,Jogo 14,Jonathan Clauss,97,2,23.4,157
Primeira Liga,Porto,Jogo 14,Diogo Costa,18,31,28.0,174
Ligue 1,Paris Saint-Germain,Jogo 14,Warren Zaïre-Emery,23,88,28.0,172
Primeira Liga,Benfica,Jogo 14,Ángel Di María,60,38,33.7,165
Primeira Liga,Sporting CP,Jogo 14,Pedro Gonçalves,54,43,29.7,168
Eredivisie,Ajax,Jogo 14,Steven Berghuis,48,67,23.6,165
Ligue 1,Lyon,Jogo 14,Dejan Lovren,65,36,26.1,182
Serie A,Juventus,Jogo 14,Bremer,6,37,27.0,159
Eredivisie,Utrecht,Jogo 14,Sam Lammers,47,29,32.5,188
Premier League,Manchester United,Jogo 14,Raphaël Varane,88,95,34.7,189
Serie A,Milan,Jogo 14,Theo Hernández,69,0,30.7,168
Brasileirão,Corinthians,Jogo 14,Renato Augusto,35,93,29.3,173
Primeira Liga,Braga,Jogo 14,Simon Banza,77,96,28.1,160
Brasileirão,Palmeiras,Jogo 14,Weverton,51,64,26.5,160
Premier League,Manchester City,Jogo 14,Erling Haaland,23,48,25.5,157
Premier League,Manchester City,Jogo 14,Kevin De Bruyne,1,7,21.0,180
Primeira Liga,Benfica,Jogo 14,Nicolás Otamendi,86,44,32.9,179
Serie A,Roma,Jogo 14,Bryan Cristante,95,16,26.7,159
Primeira Liga,Sporting CP,Jogo 14,Pedro Gonçalves,33,58,30.2,165
Ligue 1,Monaco,Jogo 14,Caio Henrique,73,9,34.1,170
La Liga,Real Madrid,Jogo 15,Rodrygo,86,77,29.6,160
Primeira Liga,Estoril,Jogo 15,Cassiano,42,54,20.7,152
La Liga,Real Madrid,Jogo 15,David Alaba,93,88,28.4,166
Primeira Liga,Estoril,Jogo 15,Cassiano,95,32,28.8,185
Serie A,Juventus,Jogo 15,Adrien Rabiot,27,54,30.7,185
Ligue 1,Lille,Jogo 15,Jonathan David,74,14,26.2,150
Eredivisie,PSV Eindhoven,Jogo 15,Ismael Saibari,5,23,26.3,177
Primeira Liga,Braga,Jogo 15,Rodrigo Zalazar,59,6,33.7,167
La Liga,Barcelona,Jogo 15,Ronald Araújo,90,55,28.9,176
Ligue 1,Marseille,Jogo 15,Pierre-Emerick Aubameyang,46,59,29.6,177
Primeira Liga,Sporting CP,Jogo 15,Pedro Gonçalves,98,32,28.7,155
Brasileirão,Palmeiras,Jogo 15,Weverton,32,22,26.0,184
Primeira Liga,Braga,Jogo 15,Simon Banza,23,42,24.0,174
La Liga,Atlético Madrid,Jogo 15,Álvaro Morata,0,22,34.2,163
Bundesliga,Bayern Munich,Jogo 15,Harry Kane,11,75,22.2,171
Bundesliga,RB Leipzig,Jogo 15,Mohamed Simakan,65,72,29.7,154
Bundesliga,Wolfsburg,Jogo 15,Patrick Wimmer,87,77,27.9,187
Serie A,Juventus,Jogo 15,Adrien Rabiot,100,70,25.1,168
Brasileirão,São Paulo,Jogo 15,Calleri,26,31,24.8,180
La Liga,Atlético Madrid,Jogo 15,Koke,87,69,28.1,153
Premier League,Manchester City,Jogo 15,Phil Foden,99,0,34.9,153
Ligue 1,Marseille,Jogo 15,Pau López,98,8,32.4,164
Serie A,Roma,Jogo 15,Bryan Cristante,38,98,20.6,168
La Liga,Villarreal,Jogo 15,Pau Torres,82,67,26.7,153
